"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"281","Christchurch Aero","20160312:2000",0.19,1,"G","H"
"282","Christchurch Aero","20160312:2100",0,1,"G","H"
"283","Christchurch Aero","20160312:2200",0,1,"G","H"
"284","Christchurch Aero","20160312:2300",0,1,"G","H"
"285","Christchurch Aero","20160313:0000",0,1,"G","H"
"286","Christchurch Aero","20160313:0100",0,1,"G","H"
"287","Christchurch Aero","20160313:0200",0,1,"G","H"
"288","Christchurch Aero","20160313:0300",0,1,"G","H"
"289","Christchurch Aero","20160313:0400",0,1,"G","H"
"290","Christchurch Aero","20160313:0500",0,1,"G","H"
"291","Christchurch Aero","20160313:0600",0,1,"G","H"
"292","Christchurch Aero","20160313:0700",0,1,"G","H"
"293","Christchurch Aero","20160313:0800",0.03,1,"G","H"
"294","Christchurch Aero","20160313:0900",0.32,1,"G","H"
"295","Christchurch Aero","20160313:1000",0.74,1,"G","H"
"296","Christchurch Aero","20160313:1100",1.11,1,"G","H"
"297","Christchurch Aero","20160313:1200",1.78,1,"G","H"
"298","Christchurch Aero","20160313:1300",1.62,1,"G","H"
"299","Christchurch Aero","20160313:1400",2.42,1,"G","H"
"300","Christchurch Aero","20160313:1500",2.59,1,"G","H"
"301","Christchurch Aero","20160313:1600",1.83,1,"G","H"
"302","Christchurch Aero","20160313:1700",1.19,1,"G","H"
"303","Christchurch Aero","20160313:1800",0.56,1,"G","H"
"304","Christchurch Aero","20160313:1900",0.3,1,"G","H"
"305","Christchurch Aero","20160313:2000",0.04,1,"G","H"
"306","Christchurch Aero","20160313:2100",0,1,"G","H"
"307","Christchurch Aero","20160313:2200",0,1,"G","H"
"308","Christchurch Aero","20160313:2300",0,1,"G","H"
"309","Christchurch Aero","20160314:0000",0,1,"G","H"
"310","Christchurch Aero","20160314:0100",0,1,"G","H"
"311","Christchurch Aero","20160314:0200",0,1,"G","H"
"312","Christchurch Aero","20160314:0300",0,1,"G","H"
"313","Christchurch Aero","20160314:0400",0,1,"G","H"
"314","Christchurch Aero","20160314:0500",0,1,"G","H"
"315","Christchurch Aero","20160314:0600",0,1,"G","H"
"316","Christchurch Aero","20160314:0700",0,1,"G","H"
"317","Christchurch Aero","20160314:0800",0,1,"G","H"
"318","Christchurch Aero","20160314:0900",0.14,1,"G","H"
"319","Christchurch Aero","20160314:1000",0.37,1,"G","H"
"320","Christchurch Aero","20160314:1100",1.37,1,"G","H"
"321","Christchurch Aero","20160314:1200",2.13,1,"G","H"
"322","Christchurch Aero","20160314:1300",2.29,1,"G","H"
"323","Christchurch Aero","20160314:1400",2.85,1,"G","H"
"324","Christchurch Aero","20160314:1500",2.09,1,"G","H"
"325","Christchurch Aero","20160314:1600",1.57,1,"G","H"
"326","Christchurch Aero","20160314:1700",1.34,1,"G","H"
"327","Christchurch Aero","20160314:1800",1.07,1,"G","H"
"328","Christchurch Aero","20160314:1900",0.73,1,"G","H"
"329","Christchurch Aero","20160314:2000",0.14,1,"G","H"
"330","Christchurch Aero","20160314:2100",0,1,"G","H"
"331","Christchurch Aero","20160314:2200",0,1,"G","H"
"332","Christchurch Aero","20160314:2300",0,1,"G","H"
"333","Christchurch Aero","20160315:0000",0,1,"G","H"
"334","Christchurch Aero","20160315:0100",0,1,"G","H"
"335","Christchurch Aero","20160315:0200",0,1,"G","H"
"336","Christchurch Aero","20160315:0300",0,1,"G","H"
"337","Christchurch Aero","20160315:0400",0,1,"G","H"
"338","Christchurch Aero","20160315:0500",0,1,"G","H"
"339","Christchurch Aero","20160315:0600",0,1,"G","H"
"340","Christchurch Aero","20160315:0700",0,1,"G","H"
"341","Christchurch Aero","20160315:0800",0,1,"G","H"
"342","Christchurch Aero","20160315:0900",0.24,1,"G","H"
"343","Christchurch Aero","20160315:1000",1.06,1,"G","H"
"344","Christchurch Aero","20160315:1100",0.75,1,"G","H"
"345","Christchurch Aero","20160315:1200",0.55,1,"G","H"
"346","Christchurch Aero","20160315:1300",0.72,1,"G","H"
"347","Christchurch Aero","20160315:1400",0.64,1,"G","H"
"348","Christchurch Aero","20160315:1500",0.36,1,"G","H"
"349","Christchurch Aero","20160315:1600",0.33,1,"G","H"
"350","Christchurch Aero","20160315:1700",0.25,1,"G","H"
"351","Christchurch Aero","20160315:1800",0.23,1,"G","H"
"352","Christchurch Aero","20160315:1900",0.15,1,"G","H"
"353","Christchurch Aero","20160315:2000",0.03,1,"G","H"
"354","Christchurch Aero","20160315:2100",0,1,"G","H"
"355","Christchurch Aero","20160315:2200",0,1,"G","H"
"356","Christchurch Aero","20160315:2300",0,1,"G","H"
"357","Christchurch Aero","20160316:0000",0,1,"G","H"
"358","Christchurch Aero","20160316:0100",0,1,"G","H"
"359","Christchurch Aero","20160316:0200",0,1,"G","H"
"360","Christchurch Aero","20160316:0300",0,1,"G","H"
"361","Christchurch Aero","20160316:0400",0,1,"G","H"
"362","Christchurch Aero","20160316:0500",0,1,"G","H"
"363","Christchurch Aero","20160316:0600",0,1,"G","H"
"364","Christchurch Aero","20160316:0700",0,1,"G","H"
"365","Christchurch Aero","20160316:0800",0,1,"G","H"
"366","Christchurch Aero","20160316:0900",0.02,1,"G","H"
"367","Christchurch Aero","20160316:1000",0.16,1,"G","H"
"368","Christchurch Aero","20160316:1100",0.37,1,"G","H"
"369","Christchurch Aero","20160316:1200",0.33,1,"G","H"
"370","Christchurch Aero","20160316:1300",0.43,1,"G","H"
"371","Christchurch Aero","20160316:1400",0.64,1,"G","H"
"372","Christchurch Aero","20160316:1500",1.09,1,"G","H"
"373","Christchurch Aero","20160316:1600",0.63,1,"G","H"
"374","Christchurch Aero","20160316:1700",0.36,1,"G","H"
"375","Christchurch Aero","20160316:1800",0.55,1,"G","H"
"376","Christchurch Aero","20160316:1900",0.31,1,"G","H"
"377","Christchurch Aero","20160316:2000",0.04,1,"G","H"
"378","Christchurch Aero","20160316:2100",0,1,"G","H"
"379","Christchurch Aero","20160316:2200",0,1,"G","H"
"380","Christchurch Aero","20160316:2300",0,1,"G","H"
"381","Christchurch Aero","20160317:0000",0,1,"G","H"
"382","Christchurch Aero","20160317:0100",0,1,"G","H"
"383","Christchurch Aero","20160317:0200",0,1,"G","H"
"384","Christchurch Aero","20160317:0300",0,1,"G","H"
"385","Christchurch Aero","20160317:0400",0,1,"G","H"
"386","Christchurch Aero","20160317:0500",0,1,"G","H"
"387","Christchurch Aero","20160317:0600",0,1,"G","H"
"388","Christchurch Aero","20160317:0700",0,1,"G","H"
"389","Christchurch Aero","20160317:0800",0,1,"G","H"
"390","Christchurch Aero","20160317:0900",0.11,1,"G","H"
"391","Christchurch Aero","20160317:1000",0.36,1,"G","H"
"392","Christchurch Aero","20160317:1100",0.9,1,"G","H"
"393","Christchurch Aero","20160317:1200",1.32,1,"G","H"
"394","Christchurch Aero","20160317:1300",1.25,1,"G","H"
"395","Christchurch Aero","20160317:1400",1.96,1,"G","H"
"396","Christchurch Aero","20160317:1500",1.88,1,"G","H"
"397","Christchurch Aero","20160317:1600",1.64,1,"G","H"
"398","Christchurch Aero","20160317:1700",1.41,1,"G","H"
"399","Christchurch Aero","20160317:1800",0.86,1,"G","H"
"400","Christchurch Aero","20160317:1900",1.03,1,"G","H"
"401","Christchurch Aero","20160317:2000",0.17,1,"G","H"
"402","Christchurch Aero","20160317:2100",0,1,"G","H"
"403","Christchurch Aero","20160317:2200",0,1,"G","H"
"404","Christchurch Aero","20160317:2300",0,1,"G","H"
"405","Christchurch Aero","20160318:0000",0,1,"G","H"
"406","Christchurch Aero","20160318:0100",0,1,"G","H"
"407","Christchurch Aero","20160318:0200",0,1,"G","H"
"408","Christchurch Aero","20160318:0300",0,1,"G","H"
"409","Christchurch Aero","20160318:0400",0,1,"G","H"
"410","Christchurch Aero","20160318:0500",0,1,"G","H"
"411","Christchurch Aero","20160318:0600",0,1,"G","H"
"412","Christchurch Aero","20160318:0700",0,1,"G","H"
"413","Christchurch Aero","20160318:0800",0,1,"G","H"
"414","Christchurch Aero","20160318:0900",0.15,1,"G","H"
"415","Christchurch Aero","20160318:1000",0.4,1,"G","H"
"416","Christchurch Aero","20160318:1100",0.57,1,"G","H"
"417","Christchurch Aero","20160318:1200",1.52,1,"G","H"
"418","Christchurch Aero","20160318:1300",1.97,1,"G","H"
"419","Christchurch Aero","20160318:1400",1.8,1,"G","H"
"420","Christchurch Aero","20160318:1500",2.01,1,"G","H"
"421","Christchurch Aero","20160318:1600",2.14,1,"G","H"
"422","Christchurch Aero","20160318:1700",1.77,1,"G","H"
"423","Christchurch Aero","20160318:1800",1.15,1,"G","H"
"424","Christchurch Aero","20160318:1900",0.65,1,"G","H"
"425","Christchurch Aero","20160318:2000",0.09,1,"G","H"
"426","Christchurch Aero","20160318:2100",0,1,"G","H"
"427","Christchurch Aero","20160318:2200",0,1,"G","H"
"428","Christchurch Aero","20160318:2300",0,1,"G","H"
"429","Christchurch Aero","20160319:0000",0,1,"G","H"
"430","Christchurch Aero","20160319:0100",0,1,"G","H"
"431","Christchurch Aero","20160319:0200",0,1,"G","H"
"432","Christchurch Aero","20160319:0300",0,1,"G","H"
"433","Christchurch Aero","20160319:0400",0,1,"G","H"
"434","Christchurch Aero","20160319:0500",0,1,"G","H"
"435","Christchurch Aero","20160319:0600",0,1,"G","H"
"436","Christchurch Aero","20160319:0700",0,1,"G","H"
"437","Christchurch Aero","20160319:0800",0.02,1,"G","H"
"438","Christchurch Aero","20160319:0900",0.58,1,"G","H"
"439","Christchurch Aero","20160319:1000",1.28,1,"G","H"
"440","Christchurch Aero","20160319:1100",1.44,1,"G","H"
"441","Christchurch Aero","20160319:1200",2.27,1,"G","H"
"442","Christchurch Aero","20160319:1300",2.63,1,"G","H"
"443","Christchurch Aero","20160319:1400",2.32,1,"G","H"
"444","Christchurch Aero","20160319:1500",2.65,1,"G","H"
"445","Christchurch Aero","20160319:1600",2.48,1,"G","H"
"446","Christchurch Aero","20160319:1700",2.08,1,"G","H"
"447","Christchurch Aero","20160319:1800",1.49,1,"G","H"
"448","Christchurch Aero","20160319:1900",0.72,1,"G","H"
"449","Christchurch Aero","20160319:2000",0.17,1,"G","H"
"450","Christchurch Aero","20160319:2100",0,1,"G","H"
"451","Christchurch Aero","20160319:2200",0,1,"G","H"
"452","Christchurch Aero","20160319:2300",0,1,"G","H"
"453","Christchurch Aero","20160320:0000",0,1,"G","H"
"454","Christchurch Aero","20160320:0100",0,1,"G","H"
"455","Christchurch Aero","20160320:0200",0,1,"G","H"
"456","Christchurch Aero","20160320:0300",0,1,"G","H"
"457","Christchurch Aero","20160320:0400",0,1,"G","H"
"458","Christchurch Aero","20160320:0500",0,1,"G","H"
"459","Christchurch Aero","20160320:0600",0,1,"G","H"
"460","Christchurch Aero","20160320:0700",0,1,"G","H"
