"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"207","Pukekohe Ews","20160309:1400",3.18,1,"G","H"
"208","Pukekohe Ews","20160309:1500",3.05,1,"G","H"
"209","Pukekohe Ews","20160309:1600",2.71,1,"G","H"
"210","Pukekohe Ews","20160309:1700",2.14,1,"G","H"
"211","Pukekohe Ews","20160309:1800",1.52,1,"G","H"
"212","Pukekohe Ews","20160309:1900",0.77,1,"G","H"
"213","Pukekohe Ews","20160309:2000",0.1,1,"G","H"
"214","Pukekohe Ews","20160309:2100",0,1,"G","H"
"215","Pukekohe Ews","20160309:2200",0,1,"G","H"
"216","Pukekohe Ews","20160309:2300",0,1,"G","H"
"217","Pukekohe Ews","20160310:0000",0,1,"G","H"
"218","Pukekohe Ews","20160310:0100",0,1,"G","H"
"219","Pukekohe Ews","20160310:0200",0,1,"G","H"
"220","Pukekohe Ews","20160310:0300",0,1,"G","H"
"221","Pukekohe Ews","20160310:0400",0,1,"G","H"
"222","Pukekohe Ews","20160310:0500",0,1,"G","H"
"223","Pukekohe Ews","20160310:0600",0,1,"G","H"
"224","Pukekohe Ews","20160310:0700",0,1,"G","H"
"225","Pukekohe Ews","20160310:0800",0.06,1,"G","H"
"226","Pukekohe Ews","20160310:0900",0.38,1,"G","H"
"227","Pukekohe Ews","20160310:1000",1.01,1,"G","H"
"228","Pukekohe Ews","20160310:1100",1.79,1,"G","H"
"229","Pukekohe Ews","20160310:1200",2.67,1,"G","H"
"230","Pukekohe Ews","20160310:1300",3.03,1,"G","H"
"231","Pukekohe Ews","20160310:1400",3.11,1,"G","H"
"232","Pukekohe Ews","20160310:1500",2.07,1,"G","H"
"233","Pukekohe Ews","20160310:1600",1.64,1,"G","H"
"234","Pukekohe Ews","20160310:1700",1.72,1,"G","H"
"235","Pukekohe Ews","20160310:1800",1.03,1,"G","H"
"236","Pukekohe Ews","20160310:1900",0.79,1,"G","H"
"237","Pukekohe Ews","20160310:2000",0.08,1,"G","H"
"238","Pukekohe Ews","20160310:2100",0,1,"G","H"
"239","Pukekohe Ews","20160310:2200",0,1,"G","H"
"240","Pukekohe Ews","20160310:2300",0,1,"G","H"
"241","Pukekohe Ews","20160311:0000",0,1,"G","H"
"242","Pukekohe Ews","20160311:0100",0,1,"G","H"
"243","Pukekohe Ews","20160311:0200",0,1,"G","H"
"244","Pukekohe Ews","20160311:0300",0,1,"G","H"
"245","Pukekohe Ews","20160311:0400",0,1,"G","H"
"246","Pukekohe Ews","20160311:0500",0,1,"G","H"
"247","Pukekohe Ews","20160311:0600",0,1,"G","H"
"248","Pukekohe Ews","20160311:0700",0,1,"G","H"
"249","Pukekohe Ews","20160311:0800",0.02,1,"G","H"
"250","Pukekohe Ews","20160311:0900",0.18,1,"G","H"
"251","Pukekohe Ews","20160311:1000",0.52,1,"G","H"
"252","Pukekohe Ews","20160311:1100",1.64,1,"G","H"
"253","Pukekohe Ews","20160311:1200",1.42,1,"G","H"
"254","Pukekohe Ews","20160311:1300",1.89,1,"G","H"
"255","Pukekohe Ews","20160311:1400",2.51,1,"G","H"
"256","Pukekohe Ews","20160311:1500",2.15,1,"G","H"
"257","Pukekohe Ews","20160311:1600",2.35,1,"G","H"
"258","Pukekohe Ews","20160311:1700",1.65,1,"G","H"
"259","Pukekohe Ews","20160311:1800",1.51,1,"G","H"
"260","Pukekohe Ews","20160311:1900",0.75,1,"G","H"
"261","Pukekohe Ews","20160311:2000",0.09,1,"G","H"
"262","Pukekohe Ews","20160311:2100",0,1,"G","H"
"263","Pukekohe Ews","20160311:2200",0,1,"G","H"
"264","Pukekohe Ews","20160311:2300",0,1,"G","H"
"265","Pukekohe Ews","20160312:0000",0,1,"G","H"
"266","Pukekohe Ews","20160312:0100",0,1,"G","H"
"267","Pukekohe Ews","20160312:0200",0,1,"G","H"
"268","Pukekohe Ews","20160312:0300",0,1,"G","H"
"269","Pukekohe Ews","20160312:0400",0,1,"G","H"
"270","Pukekohe Ews","20160312:0500",0,1,"G","H"
"271","Pukekohe Ews","20160312:0600",0,1,"G","H"
"272","Pukekohe Ews","20160312:0700",0,1,"G","H"
"273","Pukekohe Ews","20160312:0800",0.08,1,"G","H"
"274","Pukekohe Ews","20160312:0900",0.62,1,"G","H"
"275","Pukekohe Ews","20160312:1000",1.44,1,"G","H"
"276","Pukekohe Ews","20160312:1100",2.1,1,"G","H"
"277","Pukekohe Ews","20160312:1200",2.64,1,"G","H"
"278","Pukekohe Ews","20160312:1300",2.98,1,"G","H"
"279","Pukekohe Ews","20160312:1400",3.1,1,"G","H"
"280","Pukekohe Ews","20160312:1500",2.89,1,"G","H"
"281","Pukekohe Ews","20160312:1600",1.93,1,"G","H"
"282","Pukekohe Ews","20160312:1700",1.69,1,"G","H"
"283","Pukekohe Ews","20160312:1800",0.49,1,"G","H"
"284","Pukekohe Ews","20160312:1900",0.14,1,"G","H"
"285","Pukekohe Ews","20160312:2000",0.04,1,"G","H"
"286","Pukekohe Ews","20160312:2100",0,1,"G","H"
"287","Pukekohe Ews","20160312:2200",0,1,"G","H"
"288","Pukekohe Ews","20160312:2300",0,1,"G","H"
"289","Pukekohe Ews","20160313:0000",0,1,"G","H"
"290","Pukekohe Ews","20160313:0100",0,1,"G","H"
"291","Pukekohe Ews","20160313:0200",0,1,"G","H"
"292","Pukekohe Ews","20160313:0300",0,1,"G","H"
"293","Pukekohe Ews","20160313:0400",0,1,"G","H"
"294","Pukekohe Ews","20160313:0500",0,1,"G","H"
"295","Pukekohe Ews","20160313:0600",0,1,"G","H"
"296","Pukekohe Ews","20160313:0700",0,1,"G","H"
"297","Pukekohe Ews","20160313:0800",0.1,1,"G","H"
"298","Pukekohe Ews","20160313:0900",0.72,1,"G","H"
"299","Pukekohe Ews","20160313:1000",1.3,1,"G","H"
"300","Pukekohe Ews","20160313:1100",2.12,1,"G","H"
"301","Pukekohe Ews","20160313:1200",2.62,1,"G","H"
"302","Pukekohe Ews","20160313:1300",2.28,1,"G","H"
"303","Pukekohe Ews","20160313:1400",3.01,1,"G","H"
"304","Pukekohe Ews","20160313:1500",2.94,1,"G","H"
"305","Pukekohe Ews","20160313:1600",2.87,1,"G","H"
"306","Pukekohe Ews","20160313:1700",1.85,1,"G","H"
"307","Pukekohe Ews","20160313:1800",1.24,1,"G","H"
"308","Pukekohe Ews","20160313:1900",0.69,1,"G","H"
"309","Pukekohe Ews","20160313:2000",0.08,1,"G","H"
"310","Pukekohe Ews","20160313:2100",0,1,"G","H"
"311","Pukekohe Ews","20160313:2200",0,1,"G","H"
"312","Pukekohe Ews","20160313:2300",0,1,"G","H"
"313","Pukekohe Ews","20160314:0000",0,1,"G","H"
"314","Pukekohe Ews","20160314:0100",0,1,"G","H"
"315","Pukekohe Ews","20160314:0200",0,1,"G","H"
"316","Pukekohe Ews","20160314:0300",0,1,"G","H"
"317","Pukekohe Ews","20160314:0400",0,1,"G","H"
"318","Pukekohe Ews","20160314:0500",0,1,"G","H"
"319","Pukekohe Ews","20160314:0600",0,1,"G","H"
"320","Pukekohe Ews","20160314:0700",0,1,"G","H"
"321","Pukekohe Ews","20160314:0800",0.05,1,"G","H"
"322","Pukekohe Ews","20160314:0900",0.66,1,"G","H"
"323","Pukekohe Ews","20160314:1000",1.35,1,"G","H"
"324","Pukekohe Ews","20160314:1100",1.8,1,"G","H"
"325","Pukekohe Ews","20160314:1200",2.05,1,"G","H"
"326","Pukekohe Ews","20160314:1300",0.79,1,"G","H"
"327","Pukekohe Ews","20160314:1400",0.62,1,"G","H"
"328","Pukekohe Ews","20160314:1500",1.14,1,"G","H"
"329","Pukekohe Ews","20160314:1600",1.55,1,"G","H"
"330","Pukekohe Ews","20160314:1700",1.91,1,"G","H"
"331","Pukekohe Ews","20160314:1800",1.24,1,"G","H"
"332","Pukekohe Ews","20160314:1900",0.5,1,"G","H"
"333","Pukekohe Ews","20160314:2000",0.06,1,"G","H"
"334","Pukekohe Ews","20160314:2100",0,1,"G","H"
"335","Pukekohe Ews","20160314:2200",0,1,"G","H"
"336","Pukekohe Ews","20160314:2300",0,1,"G","H"
"337","Pukekohe Ews","20160315:0000",0,1,"G","H"
"338","Pukekohe Ews","20160315:0100",0,1,"G","H"
"339","Pukekohe Ews","20160315:0200",0,1,"G","H"
"340","Pukekohe Ews","20160315:0300",0,1,"G","H"
"341","Pukekohe Ews","20160315:0400",0,1,"G","H"
"342","Pukekohe Ews","20160315:0500",0,1,"G","H"
"343","Pukekohe Ews","20160315:0600",0,1,"G","H"
"344","Pukekohe Ews","20160315:0700",0,1,"G","H"
"345","Pukekohe Ews","20160315:0800",0.05,1,"G","H"
"346","Pukekohe Ews","20160315:0900",0.4,1,"G","H"
"347","Pukekohe Ews","20160315:1000",1.35,1,"G","H"
"348","Pukekohe Ews","20160315:1100",1.54,1,"G","H"
