Trading_period,Trading_date,Season,Tararua,Tararua_Embed,TeApiti,TeRereHau,TeUku,Westwind,Whitehill
15,2019-10-06,Spring,0.8152997719707924,0.6617226500662775,0.681504512019413,0.711018647462823,0.0798065755065955,0.15452053987151532,0.03735368248414952
16,2019-10-06,Spring,0.8230795650889386,0.6564544148153596,0.6894163443795658,0.7097600883437013,0.06374101823980485,0.13121058525372783,0.06430324450849724
17,2019-10-06,Spring,0.8034581228430752,0.6524570725553638,0.7060236091099821,0.6325035590979574,0.04316852028939165,0.12956032297990216,0.0676267829887117
18,2019-10-06,Spring,0.7181712661246286,0.633077396280469,0.6767270796997042,0.5642949223535808,0.03801773093668014,0.16483467908292568,0.11050765446713093
19,2019-10-06,Spring,0.6343458360659336,0.5881919404585262,0.6265766790526023,0.5251554268777622,0.020020627662622692,0.14193729003359462,0.07402098202129823
20,2019-10-06,Spring,0.5641824928815191,0.5624315771864935,0.6762720861454463,0.49612438100854983,0.0075728867269032225,0.12052808392762422,0.012065889699909033
21,2019-10-06,Spring,0.5004950694286282,0.538879374369775,0.6566315310533101,0.4429036971820222,0.0,0.14517887664289503,0.0
22,2019-10-06,Spring,0.40895090100349313,0.4685231548194081,0.5547888071585653,0.3846553612690189,0.0,0.13350916484941358,0.00411829768200488
23,2019-10-06,Spring,0.4464558974316758,0.5047025799613688,0.5500366522585375,0.37821065438960116,0.0008891243525513906,0.13152000943007014,0.0363782961910431
24,2019-10-06,Spring,0.3768774907823332,0.43256077004939397,0.5307247036222542,0.28581755313720314,0.007940800252096904,0.16374432722343374,0.07167282983419018
25,2019-10-06,Spring,0.2832563174517805,0.34914048246953366,0.4357068830413791,0.19388159667695246,9.197838129841972e-5,0.18384216420109625,0.0036125418263200696
26,2019-10-06,Spring,0.24745902471551232,0.2804394673675336,0.3952377341320998,0.14049301090516078,0.0003065946043280657,0.16937290033594624,0.0
27,2019-10-06,Spring,0.24567974747571755,0.27218328371626993,0.31720633957685596,0.1277385771415376,0.011221362518407205,0.16163729592738849,0.0010476371296328202
28,2019-10-06,Spring,0.19931929668584744,0.22601789468519048,0.31579080407472004,0.1336927469651841,0.011834551727063335,0.16418636176106563,0.0006502575287376126
29,2019-10-06,Spring,0.2149543438512148,0.27008637083989134,0.30105406840069765,0.12481275640908064,0.0017475892446699745,0.15322390522779514,0.0
30,2019-10-06,Spring,0.2374888066288539,0.27479676031157624,0.30365764262784056,0.10761103750703709,0.0051814488131443105,0.18061531207638357,0.00021675250957920418
